tag,path,summary,required_params,all_params
BMRS Datasets,/datasets/FOU2T3YW,2 to 156 weeks ahead generation availability aggregated by fuel type (FOU2T3YW),,"fuelType,publishDate,publishDateTimeFrom,publishDateTimeTo,week,year,biddingZone,interconnector,format"
BMRS Datasets,/datasets/FREQ,System frequency (FREQ),,"measurementDateTimeFrom,measurementDateTimeTo,format"
BMRS Datasets,/datasets/FREQ/stream,System frequency (FREQ) stream,,"measurementDateTimeFrom,measurementDateTimeTo"
BMRS Datasets,/datasets/FUELHH,Half-hourly generation outturn by fuel type (FUELHH),,"publishDateTimeFrom,publishDateTimeTo,settlementDateFrom,settlementDateTo,settlementPeriod,fuelType,format"
BMRS Datasets,/datasets/FUELHH/stream,Half-hourly generation outturn by fuel type (FUELHH) stream,,"publishDateTimeFrom,publishDateTimeTo,settlementDateFrom,settlementDateTo,settlementPeriod,fuelType"
BMRS Datasets,/datasets/FUELINST,Instantaneous generation outturn by fuel type (FUELINST),,"publishDateTimeFrom,publishDateTimeTo,settlementDateFrom,settlementDateTo,settlementPeriod,fuelType,format"
BMRS Datasets,/datasets/FUELINST/stream,Instantaneous generation outturn by fuel type (FUELINST) stream,,"publishDateTimeFrom,publishDateTimeTo,settlementDateFrom,settlementDateTo,settlementPeriod,fuelType"
BMRS Datasets,/datasets/IGCA,Installed Generation Capacity Aggregated (IGCA / B1410),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/IGCA/stream,Installed Generation Capacity Aggregated (IGCA / B1410) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/IGCPU,Installed Generation Capacity per Unit (IGCPU / B1420),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/IGCPU/stream,Installed Generation Capacity per Unit (IGCPU / B1420) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/IMBALNGC,Day and day-ahead indicated imbalance (IMBALNGC),,"boundary,publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/IMBALNGC/stream,Day and day-ahead indicated imbalance (IMBALNGC) stream,,"boundary,publishDateTimeFrom,publishDateTimeTo"
